State,Birthplace,Weight
200,3500,38.36
200,26030,0.63
200,50100,21.65
200,52150,2.25
200,3000,90.53
200,51700,13.0
200,26043,0.36
200,45500,5.56
200,46530,9.09
200,2500,46.19
200,26054,3.09
200,26055,1.09
200,45000,0.8
200,26058,0.34
200,46541,0.41
200,46543,0.04
200,2000,44.94
200,43000,1.9
200,46547,0.52
200,1700,102.28
200,52100,3.99
200,1500,52.19
200,5600,28.87
200,1000,7.27
200,5100,43.75
200,500,31.53
200,4600,34.53
200,41300,3.85
200,59900,0.29
200,46590,0.1
400,51200,15.15
400,29900,1.56
400,4100,416.66
400,52140,17.51
400,70020,4.96
400,42000,8.86
400,51800,175.39
400,21010,3.3
400,46100,4.38
400,46510,2.36
400,50200,140.19
400,42500,28.6
400,3100,452.56
400,43610,0.19
400,30040,4.96
400,41410,5.63
400,20000,5552.95
400,52400,2.43
400,21030,79.29
400,2600,1471.27
400,45100,8.82
400,21040,102.66
400,26020,9.66
400,2100,218.84
400,21050,31.98
400,1600,277.55
400,53600,5.69
400,21060,14.53
400,1100,103.93
400,21070,31.49
400,43600,9.7
400,54200,10.72
400,600,5854.21
400,51300,13.18
400,53400,16.62
400,4700,220.66
400,3600,1922.67
400,100,154.9
400,4200,1049.1
400,26044,2.36
400,60011,2.14
400,60012,13.64
400,95000,11.35
400,60015,15.1
400,42600,11.26
400,60019,5.07
400,3700,214.93
400,60023,9.48
400,46200,3.67
400,60027,11.7
400,60031,13.72
400,3200,240.13
400,60033,1.48
400,45700,36.39
400,60038,5.14
400,30060,3.33
400,16010,5.14
400,2700,862.19
400,60045,16.11
400,45710,12.31
400,45200,5.85
400,5400,148.93
400,60014,6.38
400,60054,7.86
400,60055,1.74
400,2200,193.02
400,53700,19.86
400,45212,3.37
400,45213,6.37
400,60064,10.75
400,60065,3.46
400,41400,15.84
400,40100,4.82
400,30065,11.17
400,60072,5.77
400,21020,7.71
400,45740,50.14
400,1200,367.66
400,51400,12.16
400,5300,741.24
400,42100,38.31
400,60094,16.33
400,4800,1473.41
400,45600,54.61
400,60099,26.48
400,200,141.83
400,46540,4.93
400,40400,5.3
400,52000,10.79
400,60024,0.91
400,50900,0.6
400,3800,254.15
400,43300,12.19
400,53200,85.6
400,3300,82.97
400,11500,3.18
400,2800,112.96
400,41000,115.87
400,45300,316.05
400,11000,73.58
400,2300,133.05
400,54400,5.59
400,10500,23.34
400,60044,14.81
400,1800,758.15
400,10000,7.87
400,54100,9.65
400,1300,187.05
400,43800,26.29
400,52100,247.12
400,10010,1.57
400,800,768.65
400,4900,663.45
400,51500,257.31
400,4400,81.69
400,5000,52.98
400,30005,25.18
400,40500,12.3
400,30010,4.54
400,3900,1417.67
400,30015,19.63
400,43330,5.83
400,46520,3.74
400,30020,16.74
400,3400,602.98
400,30025,51.8
400,30030,17.25
400,50000,159.27
400,2900,638.59
400,45400,17.28
400,50010,19.03
400,30045,0.82
400,2400,208.07
400,51600,7.58
400,30050,40.26
400,1900,790.78
400,71021,1.05
400,71023,6.22
400,52200,50.67
400,41100,19.07
400,50040,41.33
400,70010,14.52
400,5500,838.93
400,60053,26.93
400,40000,7.6
400,71042,1.89
400,900,239.33
400,43400,63.48
400,49900,5.61
400,30090,5.65
400,52110,14.75
400,400,23342.03
400,15000,390.65
400,4500,90.62
400,60057,1.8
400,26010,14.77
400,51100,11.9
400,4000,459.25
400,54000,12.07
400,52130,10.72
400,46500,41.95
400,25000,42.1
400,3500,773.46
400,26030,19.04
400,46000,0.55
400,50100,94.07
400,52150,7.23
400,3000,227.64
400,51700,43.47
400,26042,0.49
400,26043,0.65
400,45500,48.67
400,46530,16.28
400,2500,488.43
400,26054,2.1
400,26055,0.19
400,45000,10.32
400,26058,0.97
400,26059,0.31
400,26060,9.41
400,46541,0.9
400,46542,0.52
400,46543,3.01
400,2000,471.44
400,43000,6.67
400,46547,11.2
400,1700,2416.0
400,1500,161.75
400,40200,2.39
400,5600,175.31
400,1000,35.37
400,53500,15.17
400,26091,0.92
400,5100,270.88
400,26094,2.89
400,500,267.22
400,4600,255.67
400,41300,65.55
400,59900,14.57
400,60032,0.65
400,46590,3.67
500,51200,3.2
500,4100,66.53
500,52140,7.18
500,70020,1.9
500,3600,163.2
500,51800,50.37
500,21010,0.54
500,46100,0.3
500,46510,0.05
500,50200,23.91
500,42500,2.56
500,3100,100.32
500,43610,0.33
500,41410,1.8
500,20000,634.75
500,52400,2.45
500,21030,96.86
500,2600,320.41
500,45100,3.18
500,21040,29.65
500,40200,0.52
500,54200,2.15
500,40500,1.1
500,21050,20.66
500,1600,27.05
500,53600,0.62
500,21060,3.35
500,1100,21.59
500,21070,7.81
500,43600,1.14
500,41400,2.7
500,600,1074.38
500,100,137.51
500,53400,1.91
500,4700,588.99
500,42000,0.64
500,51300,30.19
500,4200,125.99
500,26044,0.96
500,60011,0.39
500,60012,1.57
500,95000,30.19
500,42600,0.57
500,60019,0.12
500,3700,85.6
500,60023,1.68
500,46200,0.51
500,60027,0.79
500,60031,4.57
500,3200,30.56
500,60033,0.2
500,45700,2.99
500,60038,2.08
500,30060,0.53
500,16010,0.63
500,2700,104.86
500,46530,2.98
500,45710,0.1
500,45200,0.91
500,5400,44.79
500,60014,1.85
500,60054,0.25
500,2200,515.36
500,53700,0.95
500,45212,0.22
500,45213,0.3
500,60064,2.32
500,60065,0.19
500,1700,650.96
500,60072,1.9
500,21020,1.22
500,45740,0.18
500,1200,207.85
500,51400,1.35
500,5300,85.33
500,42100,13.64
500,60094,1.82
500,4800,1460.6
500,45600,5.57
500,60099,3.14
500,200,98.81
500,46540,0.26
500,29900,0.62
500,50900,1.58
500,3800,20.27
500,43300,0.65
500,2000,313.89
500,3300,9.15
500,49900,0.54
500,2800,352.69
500,41000,20.39
500,45300,81.38
500,26020,0.61
500,11000,23.98
500,53500,2.52
500,10500,3.35
500,1800,219.17
500,10000,0.15
500,54100,1.64
500,1300,118.96
500,43800,3.86
500,52100,40.2
500,800,121.38
500,4900,32.31
500,51500,39.0
500,4400,18.76
500,43400,8.32
500,30005,1.32
500,2100,104.91
500,30010,3.5
500,3900,197.1
500,30015,8.36
500,43330,0.15
500,46520,0.11
500,30020,1.97
500,3400,63.61
500,30025,7.91
500,30030,1.85
500,60045,1.09
500,50000,28.69
500,41300,10.26
500,45400,2.12
500,50010,0.18
500,30045,0.44
500,2400,35.5
500,51600,0.89
500,30050,7.32
500,1900,194.67
500,30065,2.49
500,41100,2.82
500,50040,5.6
500,70010,5.72
500,5500,137.11
500,40000,0.36
500,900,33.1
500,5000,6.1
500,11500,0.63
500,30090,0.65
500,52110,2.29
500,400,110.92
500,15000,27.96
500,4500,43.6
500,52200,3.43
500,60057,0.65
500,26010,2.81
500,51100,2.55
500,4000,685.72
500,54000,1.11
500,46500,5.99
500,25000,3.15
500,3500,77.27
500,26030,1.05
500,46000,0.24
500,50100,26.17
500,52150,1.46
500,3000,15.93
500,500,17616.73
500,26043,1.39
500,45500,1.63
500,60044,1.57
500,2500,52.21
500,26055,0.23
500,45000,1.59
500,26059,0.27
500,26060,2.83
500,46543,0.28
500,53200,3.67
500,43000,0.34
500,46547,0.3
500,40100,0.2
500,1500,17.08
500,5600,24.51
500,1000,9.62
500,2300,22.56
500,26091,1.85
500,5100,95.75
500,51700,8.65
500,40400,0.32
500,4600,35.93
500,2900,814.53
500,59900,1.48
500,46590,0.12
600,51200,411.01
600,4100,1705.82
600,52140,387.74
600,3600,6239.17
600,51800,4822.44
600,21010,180.54
600,46100,32.94
600,26030,135.92
600,50200,3442.81
600,42500,202.03
600,3100,906.82
600,43610,57.65
600,30040,41.66
600,52000,265.9
600,20000,43860.33
600,52400,50.88
600,40100,30.88
600,21030,4178.66
600,2600,2837.86
600,45100,87.28
600,21040,2531.16
600,40200,11.76
600,54200,164.77
600,2100,477.24
600,21050,592.42
600,1600,584.32
600,53600,37.09
600,21060,687.27
600,1100,490.24
600,21070,151.98
600,43600,242.04
600,41400,189.26
600,600,197156.03
600,100,738.32
600,53400,335.27
600,4700,729.01
600,42000,53.35
600,51300,589.96
600,4200,2913.15
600,26044,9.02
600,60011,30.95
600,60012,296.03
600,60014,66.25
600,60015,31.6
600,42600,101.96
600,60019,28.78
600,3700,755.18
600,60023,44.55
600,54100,178.84
600,60027,20.86
600,60031,194.17
600,3200,779.31
600,60033,18.87
600,95000,57.27
600,45700,103.6
600,60038,21.37
600,30060,29.75
600,16010,12.59
600,2700,1563.31
600,41410,28.61
600,45710,65.01
600,45200,33.81
600,5400,289.18
600,16020,0.66
600,60053,49.16
600,60054,21.52
600,60055,22.54
600,15000,1424.9
600,53700,321.29
600,45212,23.22
600,45213,45.96
600,60064,41.76
600,60065,53.04
600,1700,4662.97
600,60072,16.26
600,21020,145.67
600,45740,57.99
600,1200,1224.12
600,51400,153.29
600,5300,2360.88
600,42100,389.01
600,60094,165.08
600,4800,5213.16
600,45600,270.63
600,60099,129.69
600,200,461.73
600,46540,686.71
600,29900,41.1
600,46200,33.72
600,50900,59.44
600,3800,473.32
600,4900,1028.66
600,2000,1080.95
600,3300,217.63
600,49900,47.67
600,54000,65.56
600,41000,779.66
600,45300,1256.41
600,11000,373.72
600,2300,556.22
600,54400,68.59
600,10500,262.72
600,60044,178.93
600,1800,1402.5
600,10000,113.96
600,1300,789.69
600,43800,162.76
600,70020,87.39
600,10010,62.7
600,800,1704.53
600,43300,144.43
600,51500,8554.92
600,4400,322.44
600,5000,105.28
600,30005,335.36
600,40500,122.34
600,30010,97.9
600,3900,3005.66
600,30015,324.73
600,43330,7.0
600,46520,70.03
600,30020,170.11
600,3400,1903.24
600,30025,386.5
600,30030,248.52
600,60045,97.56
600,50000,4658.31
600,2900,1744.33
600,1000,131.67
600,45400,127.84
600,50010,968.81
600,30045,10.85
600,2400,769.18
600,51600,96.19
600,30050,676.27
600,60024,0.99
600,1900,1313.32
600,71021,361.09
600,71023,95.84
600,30065,106.49
600,41100,117.98
600,50040,1706.83
600,70010,195.6
600,5500,1305.12
600,40000,87.83
600,71042,8.29
600,900,813.86
600,43400,385.13
600,11500,27.58
600,30090,22.11
600,52110,107.95
600,400,1949.7
600,2200,1567.76
600,4500,358.56
600,60057,21.79
600,26010,47.31
600,51100,580.73
600,4000,1670.21
600,2800,776.13
600,52130,222.27
600,46500,629.74
600,25000,391.82
600,3500,958.52
600,46510,75.85
600,46000,12.61
600,50100,1403.83
600,52150,105.7
600,3000,440.47
600,51700,705.02
600,26042,3.42
600,26043,6.15
600,45500,231.5
600,46530,533.79
600,2500,1913.51
600,26054,2.81
600,26055,4.55
600,45000,89.53
600,26057,2.04
600,26058,5.21
600,26059,2.09
600,26060,66.05
600,46541,49.26
600,46542,32.74
600,46543,31.46
600,53200,311.23
600,43000,12.24
600,46547,48.96
600,26020,33.68
600,52100,3405.25
600,1500,1290.13
600,5600,283.85
600,52200,1993.08
600,53500,152.86
600,26091,12.85
600,5100,1054.15
600,26094,15.29
600,500,1134.96
600,40400,49.04
600,4600,454.23
600,41300,481.32
600,59900,143.57
600,60032,12.19
600,46590,72.59
800,51200,16.33
800,4100,243.37
800,52140,12.81
800,42000,11.1
800,51800,182.7
800,21010,3.43
800,46100,4.8
800,26030,12.4
800,50200,166.53
800,42500,24.92
800,3100,895.25
800,43610,0.62
800,30040,0.37
800,52000,8.62
800,20000,2377.83
800,52400,25.2
800,40100,4.51
800,21030,94.71
800,2600,830.83
800,45100,11.26
800,21040,59.31
800,40200,3.88
800,40500,12.01
800,21050,42.43
800,1600,167.1
800,53600,5.22
800,21060,8.02
800,1100,119.7
800,21070,19.92
800,43600,2.69
800,54200,9.7
800,600,3016.35
800,51300,22.32
800,53400,11.45
800,4700,181.52
800,3600,1213.17
800,100,148.12
800,42600,13.37
800,26044,0.09
800,60011,3.65
800,60012,8.16
800,60014,13.04
800,60015,14.21
800,4200,711.61
800,60019,8.54
800,3700,211.13
800,60023,18.29
800,46200,5.93
800,60027,4.22
800,60031,11.9
800,3200,122.25
800,60033,1.51
800,95000,6.08
800,45700,8.52
800,60038,7.0
800,30060,1.71
800,16010,2.06
800,2700,629.57
800,60045,10.08
800,45710,4.47
800,45200,6.6
800,43800,19.07
800,60053,17.09
800,60054,0.47
800,60055,3.4
800,2200,271.72
800,60057,3.45
800,45212,2.91
800,45213,7.99
800,60064,3.56
800,60065,21.52
800,41400,8.27
800,1700,1427.82
800,30065,14.82
800,53200,11.18
800,21020,8.11
800,45740,18.47
800,1200,445.83
800,51400,8.74
800,5300,416.34
800,42100,36.48
800,60094,21.25
800,4800,1614.14
800,45600,16.4
800,60099,18.93
800,200,123.77
800,26060,4.78
800,29900,0.98
800,50900,6.23
800,3800,244.34
800,43300,16.36
800,2000,941.62
800,3300,64.57
800,11500,3.99
800,2800,128.2
800,41000,108.64
800,45300,360.76
800,11000,62.89
800,2300,107.76
800,60032,1.53
800,10500,14.36
800,60044,54.12
800,1800,456.32
800,41410,1.64
800,10000,3.56
800,54100,4.13
800,1300,237.43
800,5400,84.02
800,70020,11.69
800,10010,0.56
800,800,20937.11
800,4900,411.96
800,51500,115.69
800,4400,49.89
800,43400,34.01
800,30005,12.0
800,2100,160.29
800,30010,5.46
800,3900,818.31
800,30015,20.0
800,43330,0.27
800,46520,1.55
800,30020,9.99
800,3400,479.45
800,30025,32.89
800,30030,4.47
800,50000,125.17
800,2900,627.26
800,45400,12.29
800,50010,10.63
800,30045,1.24
800,2400,240.22
800,51600,7.97
800,30050,47.9
800,1900,794.59
800,71021,1.53
800,71023,0.3
800,52200,31.83
800,41100,11.47
800,50040,26.14
800,70010,24.68
800,5500,544.56
800,40000,5.74
800,71042,2.99
800,900,202.9
800,5000,39.09
800,49900,3.15
800,30090,1.31
800,53700,8.61
800,52110,4.11
800,400,483.41
800,15000,171.69
800,4500,99.54
800,26010,9.67
800,51100,15.23
800,4000,518.99
800,54000,15.4
800,52130,15.59
800,46500,82.99
800,25000,14.59
800,54400,0.87
800,3500,675.49
800,46510,9.13
800,46000,2.44
800,50100,84.18
800,52150,2.05
800,3000,244.74
800,51700,41.63
800,26042,0.26
800,26043,2.07
800,45500,41.8
800,46530,31.09
800,2500,362.51
800,45000,13.45
800,26057,0.13
800,26058,0.18
800,26059,0.35
800,46540,3.68
800,46541,1.22
800,46543,4.81
800,40400,6.58
800,43000,0.28
800,46547,6.05
800,26020,6.61
800,52100,129.97
800,1500,126.43
800,5600,423.18
800,1000,39.23
800,53500,6.31
800,26091,1.27
800,5100,296.2
800,26094,2.34
800,60072,1.06
800,500,165.78
800,4600,307.24
800,41300,44.62
800,59900,14.89
800,46590,7.68
900,51200,6.31
900,42500,20.45
900,52140,67.68
900,3600,3371.66
900,600,345.71
900,21010,1.42
900,46100,6.3
900,46510,10.8
900,50200,71.96
